0.0009765625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 71.05480194091797, 'RMSE_adversarial': 0.0012831861386075616, 'RMSE_pred': 31.30225372314453, 'L0': tensor(3.0909)}
0.0009765625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 70.62643432617188, 'RMSE_adversarial': 0.01872437819838524, 'RMSE_pred': 31.977214813232422, 'L0': tensor(1.8312)}
0.0009765625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 63.10234832763672, 'RMSE_adversarial': 0.04011572152376175, 'RMSE_pred': 43.257774353027344, 'L0': tensor(1.8052)}
0.00048828125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 47.15815734863281, 'RMSE_adversarial': 0.020777732133865356, 'RMSE_pred': 44.534889221191406, 'L0': tensor(8.1429)}
0.00048828125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 59.199466705322266, 'RMSE_adversarial': 0.009220503270626068, 'RMSE_pred': 34.930259704589844, 'L0': tensor(6.3896)}
0.00048828125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 64.9521484375, 'RMSE_adversarial': 0.00535199698060751, 'RMSE_pred': 32.0113410949707, 'L0': tensor(4.7922)}
0.00048828125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 68.4877700805664, 'RMSE_adversarial': 0.0032563928980380297, 'RMSE_pred': 31.052684783935547, 'L0': tensor(3.1818)}
0.00048828125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 70.24691772460938, 'RMSE_adversarial': 0.0021800976246595383, 'RMSE_pred': 31.21072006225586, 'L0': tensor(2.2078)}
0.00048828125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.3177261352539, 'RMSE_adversarial': 0.0007637765957042575, 'RMSE_pred': 31.90778160095215, 'L0': tensor(0.7013)}
0.00048828125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.77973175048828, 'RMSE_adversarial': 0.00033086881740018725, 'RMSE_pred': 32.2696418762207, 'L0': tensor(0.1948)}
0.00048828125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92311096191406, 'RMSE_adversarial': 8.361478830920532e-05, 'RMSE_pred': 32.48656463623047, 'L0': tensor(0.0130)}
